произошедшие с 21 по 22 часов, апрель 2024;;;;;;;; 
;ДТП;;Погибло;;Ранено;;Тяжесть последствий ;
;aбc;± % к АППГ;aбc;± % к АППГ;aбc;± % к АППГ;
1;2;3;4;5;6;7;8
Челябинская область;5.0;66,7;1.0;100,0;5.0;25,0;16,7
Ханты-Мансийский автономный округ - Югра;2.0;100,0;0.0;-100,0;2.0;100,0;стаб.
Ямало-Ненецкий автономный округ;2.0;100,0;0.0;-100,0;2.0;100,0;стаб.
Сибирский федеральный округ;40.0;-7,0;10.0;25,0;49.0;-14,0;16,9
Республика Алтай;2.0;100,0;1.0;100,0;4.0;33,3;20,0
Республика Тыва;1.0;стаб.;1.0;100,0;1.0;-50,0;50,0
Республика Хакасия;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Алтайский край;8.0;33,3;1.0;стаб.;7.0;40,0;12,5
Красноярский край;7.0;75,0;1.0;стаб.;7.0;40,0;12,5
Иркутская область;9.0;12,5;4.0;100,0;15.0;-6,3;21,1
Кемеровская область - Кузбасс;1.0;-80,0;0.0;-100,0;1.0;-80,0;стаб.
Новосибирская область;7.0;16,7;2.0;100,0;7.0;стаб.;22,2
Омская область;3.0;-40,0;0.0;-100,0;5.0;25,0;стаб.
Томская область;2.0;100,0;0.0;-100,0;2.0;100,0;стаб.
Дальневосточный федеральный округ;27.0;68,8;2.0;стаб.;33.0;83,3;5,7
Республика Бурятия;3.0;50,0;1.0;100,0;2.0;стаб.;33,3
Республика Саха (Якутия);1.0;-50,0;0.0;-100,0;1.0;-50,0;стаб.
Забайкальский край;3.0;100,0;0.0;-100,0;3.0;100,0;стаб.
Приморский край;10.0;150,0;1.0;стаб.;14.0;133,3;6,7
Камчатский край;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Хабаровский край;3.0;-25,0;0.0;-100,0;5.0;25,0;стаб.
Амурская область;6.0;200,0;0.0;-100,0;7.0;133,3;стаб.
Магаданская область;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Сахалинская область;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Еврейская автономная область;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Чукотский автономный округ;1.0;100,0;0.0;-100,0;1.0;100,0;стаб.
Федеральные территории;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Сириус;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
;;;;;;;;
;;;;;;;;
;;;;;;;;
